,zip,city,state,latitude,longitude,timezone,dst
166,910,San Juan,PR,18.410461,-66.06053,-4,0
167,911,San Juan,PR,18.45009,-66.0577,-4,0
168,912,San Juan,PR,18.445946,-66.05928,-4,0
169,913,San Juan,PR,18.450907,-66.04256,-4,0
170,914,San Juan,PR,18.410461,-66.06053,-4,0
171,915,San Juan,PR,18.436995,-66.04888,-4,0
172,916,San Juan,PR,18.410461,-66.06053,-4,0
173,917,San Juan,PR,18.422262,-66.0513,-4,0
174,918,San Juan,PR,18.417667,-66.06494,-4,0
175,919,San Juan,PR,18.410461,-66.06053,-4,0
176,920,San Juan,PR,18.41242,-66.09069,-4,0
177,921,San Juan,PR,18.394018,-66.08633,-4,0
178,922,San Juan,PR,18.410461,-66.06053,-4,0
179,923,San Juan,PR,18.41068,-66.03806,-4,0
180,924,San Juan,PR,18.401917,-66.01194,-4,0
181,925,San Juan,PR,18.400005,-66.05028,-4,0
182,926,San Juan,PR,18.361362,-66.0562,-4,0
183,927,San Juan,PR,18.39184,-66.06867,-4,0
184,928,San Juan,PR,18.410461,-66.06053,-4,0
185,929,San Juan,PR,18.410461,-66.06053,-4,0
186,930,San Juan,PR,18.410461,-66.06053,-4,0
187,931,San Juan,PR,18.410461,-66.06053,-4,0
188,933,San Juan,PR,18.410461,-66.06053,-4,0
189,934,Fort Buchanan,PR,18.413511,-66.12198,-4,0
190,935,San Juan,PR,18.410461,-66.06053,-4,0
191,936,San Juan,PR,18.410461,-66.06053,-4,0
192,937,San Juan,PR,18.410461,-66.06053,-4,0
193,938,San Juan,PR,18.410461,-66.06053,-4,0
194,939,San Juan,PR,18.410461,-66.06053,-4,0
195,940,San Juan,PR,18.410461,-66.06053,-4,0
196,949,Toa Baja,PR,18.433172,-66.2042,-4,0
197,950,Toa Baja,PR,18.457762,-66.1965,-4,0
198,951,Toa Baja,PR,18.457762,-66.1965,-4,0
199,952,Sabana Seca,PR,18.429218,-66.18014,-4,0
200,953,Toa Alta,PR,18.36802,-66.23414,-4,0
201,954,Toa Alta,PR,18.358938,-66.25811,-4,0
202,955,San Juan,PR,18.410461,-66.06053,-4,0
203,956,Bayamon,PR,18.34216,-66.16643,-4,0
204,957,Bayamon,PR,18.369675,-66.18669,-4,0
205,958,Bayamon,PR,18.34487,-66.166016,-4,0
206,959,Bayamon,PR,18.387062,-66.15943,-4,0
207,960,Bayamon,PR,18.34487,-66.166016,-4,0
208,961,Bayamon,PR,18.412462,-66.16033,-4,0
209,962,Catano,PR,18.437683,-66.13847,-4,0
210,963,Catano,PR,18.443216,-66.13929,-4,0
211,965,Guaynabo,PR,18.431454,-66.11703,-4,0
212,966,Guaynabo,PR,18.398506,-66.11522,-4,0
213,968,Guaynabo,PR,18.40848,-66.1025,-4,0
214,969,Guaynabo,PR,18.366982,-66.10889,-4,0
